timestamp_unix,timestamp_polar_ns,sample_index,x_mg,y_mg,z_mg,vm_mg
1778557766.356837,599616084995475754,180,-1026.0,54.0,-258.0,1059.32
1778557766.396837,599616085035475754,180,-974.0,65.0,-162.0,989.52
1778557766.436837,599616085075475754,180,-1013.0,54.0,-184.0,1030.99
1778557766.476837,599616085115475754,180,-1007.0,26.0,-166.0,1020.92
1778557766.516837,599616085155475754,180,-1020.0,32.0,-168.0,1034.24
1778557766.556837,599616085195475754,180,-1009.0,40.0,-202.0,1029.8
1778557766.596837,599616085235475754,180,-1001.0,44.0,-127.0,1009.98
1778557766.636837,599616085275475754,180,-1010.0,45.0,-192.0,1029.07
1778557766.676837,599616085315475754,180,-1011.0,4.0,-111.0,1017.08
1778557766.716837,599616085355475754,180,-1007.0,62.0,-196.0,1027.77
1778557766.711800,599616085376485374,216,-1018.0,15.0,-119.0,1025.04
1778557766.751800,599616085416485374,216,-1005.0,90.0,-158.0,1021.32
1778557766.791800,599616085456485374,216,-1004.0,59.0,-155.0,1017.61
1778557766.831800,599616085496485374,216,-974.0,105.0,-144.0,990.17
1778557766.871800,599616085536485374,216,-1010.0,99.0,-194.0,1033.22
1778557766.911800,599616085576485374,216,-1025.0,21.0,-119.0,1032.1
1778557766.951800,599616085616485374,216,-1000.0,101.0,-209.0,1026.59
1778557766.991800,599616085656485374,216,-1018.0,96.0,-169.0,1036.39
1778557767.031800,599616085696485374,216,-985.0,86.0,-187.0,1006.28
1778557767.071800,599616085736485374,216,-989.0,7.0,-171.0,1003.7
1778557767.111800,599616085776485374,216,-779.0,-28.0,-189.0,802.09
1778557767.151800,599616085816485374,216,-1287.0,92.0,-402.0,1351.46
1778557767.191800,599616085856485374,216,-940.0,16.0,-155.0,952.83
1778557767.231800,599616085896485374,216,-1011.0,36.0,-255.0,1043.28
1778557767.271800,599616085936485374,216,-986.0,51.0,-225.0,1012.63
1778557767.311800,599616085976485374,216,-1002.0,82.0,-301.0,1049.44
1778557767.351800,599616086016485374,216,-977.0,-31.0,-140.0,987.47
1778557767.391800,599616086056485374,216,-998.0,-9.0,-195.0,1016.91
1778557767.431800,599616086096485374,216,-1027.0,2.0,-208.0,1047.85
1778557767.471800,599616086136485374,216,-1002.0,-9.0,-185.0,1018.97
1778557767.511800,599616086176485374,216,-1011.0,-5.0,-196.0,1029.84
1778557767.551800,599616086216485374,216,-988.0,15.0,-186.0,1005.47
1778557767.591800,599616086256485374,216,-1008.0,20.0,-202.0,1028.24
1778557767.631800,599616086296485374,216,-1014.0,10.0,-200.0,1033.58
1778557767.671800,599616086336485374,216,-1014.0,4.0,-146.0,1024.46
1778557767.711800,599616086376485374,216,-1017.0,4.0,-174.0,1031.79
1778557767.751800,599616086416485374,216,-1015.0,9.0,-169.0,1029.01
1778557767.791800,599616086456485374,216,-1008.0,5.0,-177.0,1023.43
1778557767.831800,599616086496485374,216,-1015.0,-3.0,-118.0,1021.84
1778557767.871800,599616086536485374,216,-1016.0,12.0,-136.0,1025.13
1778557767.911800,599616086576485374,216,-1003.0,7.0,-154.0,1014.78
1778557767.951800,599616086616485374,216,-1014.0,-11.0,-105.0,1019.48
1778557767.991800,599616086656485374,216,-1001.0,20.0,-136.0,1010.39
1778557768.031800,599616086696485374,216,-986.0,-11.0,-127.0,994.21
1778557768.071800,599616086736485374,216,-1013.0,11.0,-122.0,1020.38
1778557768.111800,599616086776485374,216,-1025.0,-9.0,-127.0,1032.88
1778557768.158119,599616086796457416,252,-1006.0,20.0,-155.0,1018.07
1778557768.198119,599616086836457416,252,-1028.0,-4.0,-110.0,1033.88
1778557768.238119,599616086876457416,252,-1022.0,-42.0,-126.0,1030.59
1778557768.278119,599616086916457416,252,-1015.0,16.0,-129.0,1023.29
1778557768.318120,599616086956457416,252,-1012.0,0.0,-114.0,1018.4
1778557768.358119,599616086996457416,252,-1000.0,0.0,-137.0,1009.34
1778557768.398119,599616087036457416,252,-1009.0,14.0,-139.0,1018.63
1778557768.438119,599616087076457416,252,-1014.0,3.0,-151.0,1025.19
1778557768.478119,599616087116457416,252,-1017.0,-1.0,-127.0,1024.9
1778557768.518119,599616087156457416,252,-1016.0,6.0,-163.0,1029.01
1778557768.558120,599616087196457416,252,-1000.0,14.0,-131.0,1008.64
1778557768.598119,599616087236457416,252,-1006.0,-5.0,-139.0,1015.57
1778557768.638119,599616087276457416,252,-1010.0,4.0,-160.0,1022.6
1778557768.678119,599616087316457416,252,-1016.0,12.0,-175.0,1031.03
1778557768.718119,599616087356457416,252,-1014.0,13.0,-156.0,1026.01
1778557768.758119,599616087396457416,252,-1006.0,27.0,-166.0,1019.96
1778557768.798120,599616087436457416,252,-1007.0,41.0,-170.0,1022.07
1778557768.838120,599616087476457416,252,-1017.0,-24.0,-128.0,1025.3
1778557768.878119,599616087516457416,252,-1014.0,14.0,-157.0,1026.18
1778557768.918119,599616087556457416,252,-1011.0,4.0,-136.0,1020.11
1778557768.958119,599616087596457416,252,-1018.0,-3.0,-154.0,1029.59
1778557768.998119,599616087636457416,252,-985.0,59.0,-150.0,998.1
1778557769.038120,599616087676457416,252,-1029.0,-7.0,-176.0,1043.97
1778557769.078120,599616087716457416,252,-1010.0,38.0,-147.0,1021.35
1778557769.118119,599616087756457416,252,-1011.0,6.0,-139.0,1020.53
1778557769.158119,599616087796457416,252,-1013.0,-5.0,-142.0,1022.92
1778557769.198119,599616087836457416,252,-1009.0,12.0,-138.0,1018.46
1778557769.238119,599616087876457416,252,-1013.0,4.0,-160.0,1025.57
1778557769.278119,599616087916457416,252,-1014.0,4.0,-148.0,1024.75
1778557769.318120,599616087956457416,252,-1010.0,28.0,-142.0,1020.32
1778557769.358119,599616087996457416,252,-1007.0,49.0,-178.0,1023.78
1778557769.398119,599616088036457416,252,-1017.0,-58.0,-128.0,1026.66
1778557769.438119,599616088076457416,252,-1010.0,17.0,-138.0,1019.53
1778557769.478119,599616088116457416,252,-1025.0,-8.0,-134.0,1033.75
1778557769.518119,599616088156457416,252,-998.0,3.0,-134.0,1006.96
1778557769.558120,599616088196457416,252,-1014.0,-16.0,-144.0,1024.3
1778557769.591950,599616088217406010,288,-1001.0,31.0,-131.0,1010.01
1778557769.631950,599616088257406010,288,-1034.0,-19.0,-162.0,1046.79
1778557769.671950,599616088297406010,288,-1011.0,16.0,-134.0,1019.97
1778557769.711950,599616088337406010,288,-1005.0,-1.0,-133.0,1013.76
1778557769.751950,599616088377406010,288,-1010.0,12.0,-114.0,1016.48
1778557769.791950,599616088417406010,288,-1014.0,22.0,-139.0,1023.72
1778557769.831950,599616088457406010,288,-1015.0,14.0,-163.0,1028.1
1778557769.871950,599616088497406010,288,-1021.0,15.0,-136.0,1030.13
1778557769.911950,599616088537406010,288,-1007.0,45.0,-154.0,1019.7
1778557769.951950,599616088577406010,288,-1005.0,-44.0,-122.0,1013.33
1778557769.991950,599616088617406010,288,-1017.0,20.0,-140.0,1026.79
1778557770.031950,599616088657406010,288,-1013.0,-11.0,-128.0,1021.11
1778557770.071950,599616088697406010,288,-1016.0,14.0,-139.0,1025.56
1778557770.111950,599616088737406010,288,-999.0,5.0,-133.0,1007.83
1778557770.151950,599616088777406010,288,-1019.0,-2.0,-125.0,1026.64
1778557770.191950,599616088817406010,288,-1017.0,-14.0,-118.0,1023.92
1778557770.231950,599616088857406010,288,-1013.0,11.0,-130.0,1021.37
1778557770.271950,599616088897406010,288,-1016.0,-14.0,-135.0,1025.03
1778557770.311950,599616088937406010,288,-1002.0,36.0,-144.0,1012.93
1778557770.351950,599616088977406010,288,-1008.0,4.0,-163.0,1021.1
1778557770.391950,599616089017406010,288,-1017.0,6.0,-131.0,1025.42
1778557770.431950,599616089057406010,288,-1006.0,9.0,-133.0,1014.79
1778557770.471950,599616089097406010,288,-1019.0,5.0,-144.0,1029.14
1778557770.511950,599616089137406010,288,-1007.0,4.0,-127.0,1014.98
1778557770.551950,599616089177406010,288,-1011.0,8.0,-129.0,1019.23
1778557770.591950,599616089217406010,288,-1017.0,16.0,-145.0,1027.41
1778557770.631950,599616089257406010,288,-1016.0,18.0,-151.0,1027.32
1778557770.671950,599616089297406010,288,-1016.0,27.0,-147.0,1026.93
1778557770.711950,599616089337406010,288,-1003.0,29.0,-132.0,1012.06
1778557770.751950,599616089377406010,288,-1017.0,-34.0,-125.0,1025.22
1778557770.791950,599616089417406010,288,-1015.0,23.0,-125.0,1022.93
1778557770.831950,599616089457406010,288,-1017.0,5.0,-126.0,1024.79
1778557770.871950,599616089497406010,288,-1012.0,6.0,-132.0,1020.59
1778557770.911950,599616089537406010,288,-1019.0,28.0,-140.0,1028.95
1778557770.951950,599616089577406010,288,-1002.0,5.0,-116.0,1008.7
1778557770.991950,599616089617406010,288,-1017.0,-2.0,-122.0,1024.29
1778557770.986923,599616089637561132,324,-1015.0,10.0,-123.0,1022.47
1778557771.026923,599616089677561132,324,-1016.0,3.0,-118.0,1022.83
1778557771.066923,599616089717561132,324,-1015.0,6.0,-125.0,1022.69
