timestamp_unix,timestamp_polar_ns,sample_index,ecg_uv
1778560331.302797,599616644791997256,77672,-70
1778560331.310489,599616644799689563,77672,-67
1778560331.318182,599616644807381870,77672,-65
1778560331.325874,599616644815074177,77672,-63
1778560331.333566,599616644822766484,77672,-53
1778560331.341259,599616644830458791,77672,-29
1778560331.348951,599616644838151098,77672,-7
1778560331.356643,599616644845843405,77672,-2
1778560331.364336,599616644853535712,77672,9
1778560331.372028,599616644861228019,77672,33
1778560331.379720,599616644868920326,77672,60
1778560331.387413,599616644876612633,77672,89
1778560331.395105,599616644884304940,77672,118
1778560331.402797,599616644891997247,77672,147
1778560331.410490,599616644899689554,77672,186
1778560331.418182,599616644907381861,77672,225
1778560331.425874,599616644915074168,77672,252
1778560331.433566,599616644922766475,77672,281
1778560331.441259,599616644930458782,77672,298
1778560331.448951,599616644938151089,77672,298
1778560331.456643,599616644945843396,77672,281
1778560331.464336,599616644953535703,77672,232
1778560331.472028,599616644961228010,77672,147
1778560331.479720,599616644968920317,77672,41
1778560331.487412,599616644976612624,77672,-63
1778560331.495105,599616644984304931,77672,-155
1778560331.502797,599616644991997238,77672,-223
1778560331.510489,599616644999689545,77672,-276
1778560331.518182,599616645007381852,77672,-310
1778560331.525874,599616645015074159,77672,-320
1778560331.533566,599616645022766466,77672,-327
1778560331.541259,599616645030458773,77672,-332
1778560331.548951,599616645038151080,77672,-317
1778560331.556643,599616645045843387,77672,-307
1778560331.564336,599616645053535694,77672,-312
1778560331.572028,599616645061228001,77672,-307
1778560331.579720,599616645068920308,77672,-298
1778560331.563028,599616645076340912,77745,-291
1778560331.570720,599616645084033219,77745,-283
1778560331.578413,599616645091725526,77745,-274
1778560331.586105,599616645099417833,77745,-266
1778560331.593797,599616645107110140,77745,-261
1778560331.601490,599616645114802447,77745,-249
1778560331.609182,599616645122494754,77745,-244
1778560331.616874,599616645130187061,77745,-240
1778560331.624567,599616645137879368,77745,-227
1778560331.632259,599616645145571675,77745,-220
1778560331.639951,599616645153263982,77745,-210
1778560331.647644,599616645160956289,77745,-203
1778560331.655336,599616645168648596,77745,-201
1778560331.663028,599616645176340903,77745,-198
1778560331.670720,599616645184033210,77745,-194
1778560331.678413,599616645191725517,77745,-191
1778560331.686105,599616645199417824,77745,-196
1778560331.693797,599616645207110131,77745,-189
1778560331.701490,599616645214802438,77745,-177
1778560331.709182,599616645222494745,77745,-181
1778560331.716874,599616645230187052,77745,-186
1778560331.724566,599616645237879359,77745,-179
1778560331.732259,599616645245571666,77745,-174
1778560331.739951,599616645253263973,77745,-179
1778560331.747643,599616645260956280,77745,-177
1778560331.755336,599616645268648587,77745,-174
1778560331.763028,599616645276340894,77745,-172
1778560331.770720,599616645284033201,77745,-172
1778560331.778413,599616645291725508,77745,-169
1778560331.786105,599616645299417815,77745,-169
1778560331.793797,599616645307110122,77745,-172
1778560331.801490,599616645314802429,77745,-169
1778560331.809182,599616645322494736,77745,-164
1778560331.816874,599616645330187043,77745,-162
1778560331.824567,599616645337879350,77745,-164
1778560331.832259,599616645345571657,77745,-162
1778560331.839951,599616645353263964,77745,-157
1778560331.847643,599616645360956271,77745,-150
1778560331.855336,599616645368648578,77745,-157
1778560331.863028,599616645376340885,77745,-160
1778560331.870720,599616645384033192,77745,-143
1778560331.878413,599616645391725499,77745,-135
1778560331.886105,599616645399417806,77745,-152
1778560331.893797,599616645407110113,77745,-155
1778560331.901489,599616645414802420,77745,-147
1778560331.909182,599616645422494727,77745,-143
1778560331.916874,599616645430187034,77745,-140
1778560331.924567,599616645437879341,77745,-143
