timestamp_unix,timestamp_polar_ns,sample_index,x_mg,y_mg,z_mg,vm_mg
1778559737.459021,599616051805752232,108,-904.0,55.0,-479.0,1024.54
1778559737.499021,599616051845752232,108,-903.0,54.0,-479.0,1023.6
1778559737.539021,599616051885752232,108,-902.0,57.0,-479.0,1022.89
1778559737.579021,599616051925752232,108,-906.0,54.0,-480.0,1026.72
1778559737.619021,599616051965752232,108,-903.0,58.0,-479.0,1023.82
1778559737.659021,599616052005752232,108,-904.0,55.0,-479.0,1024.54
1778559737.699021,599616052045752232,108,-904.0,59.0,-480.0,1025.23
1778559737.739021,599616052085752232,108,-905.0,58.0,-477.0,1024.66
1778559737.779021,599616052125752232,108,-903.0,59.0,-479.0,1023.88
1778559737.819021,599616052165752232,108,-904.0,57.0,-480.0,1025.12
1778559737.859021,599616052205752232,108,-905.0,58.0,-481.0,1026.52
1778559737.899021,599616052245752232,108,-903.0,60.0,-479.0,1023.94
1778559737.939021,599616052285752232,108,-903.0,57.0,-480.0,1024.24
1778559737.979021,599616052325752232,108,-904.0,60.0,-478.0,1024.35
1778559738.019021,599616052365752232,108,-905.0,55.0,-478.0,1024.96
1778559738.059021,599616052405752232,108,-904.0,59.0,-478.0,1024.3
1778559738.099021,599616052445752232,108,-904.0,57.0,-476.0,1023.25
1778559738.139021,599616052485752232,108,-905.0,58.0,-481.0,1026.52
1778559738.179021,599616052525752232,108,-903.0,60.0,-474.0,1021.61
1778559738.219021,599616052565752232,108,-905.0,62.0,-468.0,1020.73
1778559738.259021,599616052605752232,108,-893.0,74.0,-492.0,1022.25
1778559738.299021,599616052645752232,108,-905.0,47.0,-466.0,1019.01
1778559738.339021,599616052685752232,108,-898.0,66.0,-493.0,1026.55
1778559738.379021,599616052725752232,108,-903.0,57.0,-482.0,1025.17
1778559738.418711,599616052745907350,144,-906.0,54.0,-481.0,1027.19
1778559738.458711,599616052785907350,144,-902.0,53.0,-477.0,1021.73
1778559738.498711,599616052825907350,144,-902.0,55.0,-478.0,1022.31
1778559738.538711,599616052865907350,144,-905.0,58.0,-481.0,1026.52
1778559738.578711,599616052905907350,144,-903.0,59.0,-476.0,1022.48
1778559738.618711,599616052945907350,144,-905.0,58.0,-476.0,1024.19
1778559738.658711,599616052985907350,144,-900.0,58.0,-486.0,1024.48
1778559738.698711,599616053025907350,144,-902.0,60.0,-477.0,1022.12
1778559738.738711,599616053065907350,144,-905.0,58.0,-484.0,1027.93
1778559738.778711,599616053105907350,144,-900.0,55.0,-481.0,1021.95
1778559738.818711,599616053145907350,144,-902.0,58.0,-483.0,1024.82
1778559738.858711,599616053185907350,144,-904.0,57.0,-484.0,1027.0
1778559738.898711,599616053225907350,144,-902.0,60.0,-484.0,1025.41
1778559738.938711,599616053265907350,144,-901.0,60.0,-480.0,1022.64
1778559738.978711,599616053305907350,144,-904.0,60.0,-484.0,1027.17
1778559739.018711,599616053345907350,144,-902.0,60.0,-481.0,1023.99
1778559739.058711,599616053385907350,144,-902.0,62.0,-483.0,1025.05
1778559739.098711,599616053425907350,144,-905.0,58.0,-482.0,1026.99
1778559739.138711,599616053465907350,144,-901.0,63.0,-481.0,1023.29
1778559739.178711,599616053505907350,144,-904.0,63.0,-481.0,1025.94
1778559739.218711,599616053545907350,144,-904.0,64.0,-478.0,1024.6
1778559739.258711,599616053585907350,144,-904.0,60.0,-482.0,1026.23
1778559739.298711,599616053625907350,144,-901.0,60.0,-483.0,1024.06
1778559739.338711,599616053665907350,144,-903.0,58.0,-482.0,1025.23
1778559739.378711,599616053705907350,144,-902.0,61.0,-481.0,1024.05
